housing_median_age,total_rooms,population,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,capped
1.0098532222611083,-1.4021776451863002,-2.1995642150514203,2.2591109211218687,445037.5,False,False,True,False,0
-0.5896692257615165,1.7761560902646243,1.1074453085440152,2.2513570331005113,358500.0,False,False,True,False,0
1.8895905686735517,-0.5283283926120573,-1.3874967523956168,1.890118440598208,352100.0,False,False,True,False,0
1.8895905686735517,-0.7622960052787056,-1.1771747495494858,1.2300831267170813,341300.0,False,False,True,False,0
1.8895905686735517,-0.35992986835283186,-1.1551742964097411,0.27314172177416873,342200.0,False,False,True,False,0
1.8895905686735517,-1.3251293338201071,-1.7236693095103224,0.3901896881661615,269700.0,False,False,True,False,0
1.8895905686735517,0.3317687506864605,-0.05505038499770344,0.15367691706413011,299200.0,False,False,True,False,0
1.8895905686735517,0.6326647257327649,0.032642091802079366,-0.219437504262166,241400.0,False,False,True,False,0
1.0898293446622394,0.3436138772313888,0.09709131694327397,-1.1017672575271575,226700.0,False,False,True,False,0
1.8895905686735517,0.8269322615457695,0.4789173111810396,0.17451017126853371,261100.0,False,False,True,False,0
1.8895905686735517,0.11713206753626589,-0.3492712115387758,-0.1588467634414406,281500.0,False,False,True,False,0
1.8895905686735517,0.8081784691905739,0.4330340585188383,-0.11057679482965944,241800.0,False,False,True,False,0
1.8895905686735517,0.3053273919281129,-0.04930964626304139,-0.25276048489608727,213500.0,False,False,True,False,0
1.8895905686735517,-1.8289946394469676,-2.065367198864345,-0.5674041414873632,191300.0,False,False,True,False,0
1.8895905686735517,0.39449689410656114,0.10477335903405899,-1.2674553155245851,159200.0,False,False,True,False,0
1.7296383238712894,-0.9806880891976939,-0.7918984646032955,-1.0581509922675407,140000.0,False,False,True,False,0
1.8895905686735517,-0.05898745547431571,-0.5751791025437861,-0.4847877822806873,152500.0,False,False,True,False,0
1.8895905686735517,-0.8241693417440827,-0.9164960622413492,-1.0628151248975486,155500.0,False,False,True,False,0
1.7296383238712894,0.1427656686086356,-0.2135268112104066,-1.1910284529436843,158700.0,False,False,True,False,0
1.8895905686735517,-0.4886432233205473,-0.8090568108674595,-0.6260312329826483,162900.0,False,False,True,False,0
0.9298770998599769,-1.6887125521333703,-1.7418581618998565,-1.912904605856352,147500.0,False,False,True,False,0
1.0898293446622394,-0.34807953061682995,-0.31580321607109285,-1.4865664629669326,159800.0,False,False,True,False,0
1.8895905686735517,0.2715110736696272,-0.17371515302441232,-1.473734435678213,113900.0,False,False,True,False,0
1.8895905686735517,-0.3007109595558096,-0.45479447827304437,-1.0046409185164036,99700.0,False,False,True,False,0
1.8895905686735517,0.13243283725335508,-0.18791427790087747,-0.6288113199864641,132600.0,False,False,True,False,0
1.0098532222611083,-2.328996532454774,-2.230255064163022,-0.7988527816668257,107500.0,False,False,True,False,0
1.649662201470158,-0.9654720845852186,-1.0295878799392018,-0.7494272109709257,93800.0,False,False,True,False,0
1.8895905686735517,-0.11429532669255195,-0.04359320937684983,-1.3826957621827656,105500.0,False,False,True,False,0
